func,d,n_train,mode,method,vanilla_val_mse,method_val_mse,val_pct,vanilla_grad_mse,method_grad_mse,grad_pct,n_seeds,median_paired_log10_ratio,mean_paired_log10_ratio,dml_wins
poly_trig,10,512,halfspace,dml_gradnorm,0.5637974143028259,0.19298680126667023,-65.77018688435959,0.7084483504295349,0.17301906645298004,-75.57774446816371,5,-0.552494618074733,-0.49233924960384073,5
poly_trig,10,512,radial,dml_fixed,0.21400678008794785,0.003792629996314645,-98.22779914040292,0.5363511204719543,0.012797098793089389,-97.61404454943083,5,-1.7302175783864988,-1.7450596283101316,5
poly_trig,10,512,radial,dml_gradnorm,0.21400678008794785,0.005468379985541105,-97.44476320643027,0.5363511204719543,0.01979065462946892,-96.31013083144965,5,-1.6117506593157078,-1.5862872385854607,5
poly_trig,10,2048,halfspace,dml_fixed,0.27935818731784823,0.117677953094244,-57.87560256454831,0.28304277658462523,0.11004162207245827,-61.12191118236943,5,-0.4117175009232907,-0.38780343616113616,5
poly_trig,10,2048,halfspace,dml_gradnorm,0.27935818731784823,0.13117157369852067,-53.045380571117384,0.28304277658462523,0.12016018703579903,-57.54698689515114,5,-0.4247416291500047,-0.38958863479031264,5
poly_trig,10,2048,radial,dml_fixed,0.033229367434978486,0.0005363582982681692,-98.38589073560402,0.1269452080130577,0.0024476446676999332,-98.07188888339277,5,-1.8030491373307096,-1.76278245239333,5
poly_trig,10,2048,radial,dml_gradnorm,0.033229367434978486,0.00045728760305792094,-98.62384499508539,0.1269452080130577,0.002254717261530459,-98.22386579468322,5,-1.8365564266185437,-1.84779571086396,5
trig,2,512,halfspace,dml_fixed,28.739072012901307,33.592233991622926,16.886982212031683,8.986218810081482,8.975097346305848,-0.1237613284372408,5,0.08564560874867569,0.09151256673186099,1
trig,2,512,halfspace,dml_gradnorm,28.739072012901307,34.574035096168515,20.303241108995536,8.986218810081482,9.619529199600219,7.047573655876676,5,-0.004733200036318943,0.07196359747874728,3
trig,2,512,radial,dml_fixed,3.5499387942254543,0.7309237800538539,-79.41024275565486,7.274204399436712,4.137952387332916,-43.11470835692568,5,-0.600398344392399,-0.5633846030978926,5
trig,2,512,radial,dml_gradnorm,3.5499387942254543,0.9708158675581217,-72.65260265508493,7.274204399436712,4.385648240149021,-39.70958197863357,5,-0.35850687624002425,-0.5337105979191163,5
trig,2,2048,halfspace,dml_fixed,27.39011342525482,31.259259963035582,14.126069789157016,8.49807357788086,8.45713272690773,-0.48176625676308366,5,0.05955084443841047,0.0570157706049496,1
trig,2,2048,halfspace,dml_gradnorm,27.39011342525482,38.73398826122284,41.41594691429243,8.49807357788086,9.425862491130829,10.91763803581152,5,0.18109992385051638,0.16748766900127615,1
trig,2,2048,radial,dml_fixed,1.6058963866904379,0.6358864363282919,-60.403022162670254,4.173801005631685,3.634032525867224,-12.932300295010592,5,-0.43346827543507477,-0.41802320975451474,4
trig,2,2048,radial,dml_gradnorm,1.6058963866904379,0.7807656764984131,-51.38131681661737,4.173801005631685,3.732406514883041,-10.575360208909654,5,-0.4160606987171148,-0.40901656419732146,4
trig,5,512,halfspace,dml_fixed,16.550911140441894,106.22065706253052,541.7813264852954,7.636274528503418,14.095358085632324,84.58422406134706,5,0.7622873244948822,0.8379556700035918,0
trig,5,512,halfspace,dml_gradnorm,16.550911140441894,57.12143478393555,245.12562057299803,7.636274528503418,10.112721872329711,32.430046020250074,5,-0.0038119080862198717,0.3532219093913085,3
trig,5,512,radial,dml_fixed,4.6170367240905765,2.262752425670624,-50.991240466766676,7.231665754318238,4.7971278667449955,-33.66496697001668,5,-0.17818755065153527,-0.33510719514839205,5
trig,5,512,radial,dml_gradnorm,4.6170367240905765,2.257760989665985,-51.09934954847692,7.231665754318238,4.7084033489227295,-34.89185605527737,5,-0.22981328721511163,-0.3781626825643219,4
trig,5,2048,halfspace,dml_fixed,17.8459331035614,66.24399271011353,271.19937817593654,9.582091426849365,6.628984355926514,-30.819024150073737,5,0.478519556217636,0.4869452934844983,0
trig,5,2048,halfspace,dml_gradnorm,17.8459331035614,52.40295281410217,193.6408676979992,9.582091426849365,5.903230512142182,-38.39308926231786,5,0.4105080440327761,0.4068187578404541,0
trig,5,2048,radial,dml_fixed,3.3802345275878904,0.16817475706338883,-95.02476068773261,6.220350551605224,1.161531686782837,-81.32690951825711,5,-1.3991142935114198,-1.4011264046915826,5
trig,5,2048,radial,dml_gradnorm,3.3802345275878904,0.1897606961429119,-94.38616774681834,6.220350551605224,1.2471082389354706,-79.95115824117595,5,-1.3067023253234253,-1.3574682077615472,5
trig,10,512,halfspace,dml_fixed,9.47589044570923,13.36815299987793,41.075427966045694,8.558634710311889,8.492958974838256,-0.7673622919611613,5,0.15439359100491393,0.1603998170859579,0
trig,10,512,halfspace,dml_gradnorm,9.47589044570923,10.13319091796875,6.936556263766781,8.558634710311889,8.45280156135559,-1.2365657904383416,5,-0.0005699130643004088,0.029216393000079686,3
trig,10,512,radial,dml_fixed,8.76861629486084,9.885301303863525,12.735019659340761,8.501982116699219,8.474563264846802,-0.3224995239470345,5,0.04220253036802607,0.05538738506678159,1
trig,10,512,radial,dml_gradnorm,8.76861629486084,8.78207368850708,0.15347226054499688,8.501982116699219,8.45108675956726,-0.5986293129456476,5,0.0013379336263738895,-0.003855222138544401,2
trig,10,2048,halfspace,dml_fixed,12.344548511505128,97.31973571777344,688.3620500747465,8.434002685546876,10.685255527496338,26.692579145218605,5,0.8891841936221347,0.7201337637665848,0
trig,10,2048,halfspace,dml_gradnorm,12.344548511505128,29.680945491790773,140.43767549803957,8.434002685546876,8.497095489501953,0.7480766405635395,5,0.04165713232989207,0.16111323995272875,2
trig,10,2048,radial,dml_fixed,8.418207740783691,7.983366549015045,-5.165484211823031,8.391282558441162,7.334366452693939,-12.595405986943248,5,0.051034564692194785,-0.1585739150028054,2
trig,10,2048,radial,dml_gradnorm,8.418207740783691,6.5438916206359865,-22.265025737808834,8.391282558441162,7.499934196472168,-10.622313761468412,5,-0.01526356804849567,-0.1844800788013647,4
