K,lambda,sigma_y,N,x_test,sigma_star_finite,sigma_star_largeN_theory,rel_err_pct,A_van,A_dml,B_dml
5,1.0,0.1,100,1.0,1.182789088353005,1.1827890883530046,3.754593394739906e-14,0.10000000000000007,1.3226233460624993e-05,0.0007147068370693913
5,1.0,0.1,100,1.5,1.1827890883530048,1.1827890883530046,1.877296697369953e-14,0.10000000000000003,1.3226233460624995e-05,0.0007147068370693913
5,1.0,0.1,100,2.0,1.182789088353005,1.1827890883530046,3.754593394739906e-14,0.10000000000000007,1.3226233460624993e-05,0.0007147068370693913
5,1.0,0.1,500,1.0,1.1827890883530054,1.1827890883530046,7.509186789479812e-14,0.02000000000000003,2.6452466921249967e-06,0.00014294136741387826
5,1.0,0.1,500,1.5,1.1827890883530052,1.1827890883530046,5.631890092109859e-14,0.020000000000000025,2.645246692124997e-06,0.00014294136741387826
5,1.0,0.1,500,2.0,1.1827890883530054,1.1827890883530046,7.509186789479812e-14,0.02000000000000003,2.6452466921249967e-06,0.00014294136741387826
5,1.0,0.2,24,1.0,2.3655781767060087,2.365578176706009,-1.877296697369953e-14,0.4166666666666667,5.510930608593753e-05,0.002977945154455798
5,1.0,0.2,24,1.5,2.3655781767060087,2.365578176706009,-1.877296697369953e-14,0.4166666666666667,5.510930608593756e-05,0.0029779451544557976
5,1.0,0.2,24,2.0,2.3655781767060087,2.365578176706009,-1.877296697369953e-14,0.4166666666666667,5.510930608593753e-05,0.002977945154455798
5,1.0,0.2,50,1.0,2.3655781767060096,2.365578176706009,1.877296697369953e-14,0.20000000000000012,2.6452466921249986e-05,0.0014294136741387826
5,1.0,0.2,50,1.5,2.36557817670601,2.365578176706009,3.754593394739906e-14,0.20000000000000007,2.645246692124998e-05,0.0014294136741387822
5,1.0,0.2,50,2.0,2.3655781767060096,2.365578176706009,1.877296697369953e-14,0.20000000000000012,2.6452466921249986e-05,0.0014294136741387826
5,1.0,0.2,100,1.0,2.36557817670601,2.365578176706009,3.754593394739906e-14,0.10000000000000007,1.3226233460624993e-05,0.0007147068370693913
5,1.0,0.2,100,1.5,2.3655781767060096,2.365578176706009,1.877296697369953e-14,0.10000000000000003,1.3226233460624995e-05,0.0007147068370693913
5,1.0,0.2,100,2.0,2.36557817670601,2.365578176706009,3.754593394739906e-14,0.10000000000000007,1.3226233460624993e-05,0.0007147068370693913
5,1.0,0.2,500,1.0,2.365578176706011,2.365578176706009,7.509186789479812e-14,0.02000000000000003,2.6452466921249967e-06,0.00014294136741387826
5,1.0,0.2,500,1.5,2.3655781767060104,2.365578176706009,5.631890092109859e-14,0.020000000000000025,2.645246692124997e-06,0.00014294136741387826
5,1.0,0.2,500,2.0,2.365578176706011,2.365578176706009,7.509186789479812e-14,0.02000000000000003,2.6452466921249967e-06,0.00014294136741387826
